Day,Date,Pom Total,$$ Pom,$ Pom,$$ Collected,R Pom,& Pom,Non-work income,Month,RR Pom,Flip,W Pom,WW Pom,H Pom,HH Pom
,6/26/2014,9,,,,,8,,6,,,,,1,1,
,6/27/2014,3,,,,,3,,6,,,,,,,
,6/28/2014,10,,,,,2,,6,,,,,,,
,6/29/2014,18,,,,,5,,6,,,,,,,
,6/30/2014,4,,,,,3,,6,,,,,,,
,7/1/2014,14,,,,,6,,7,,,,,,,
,7/2/2014,11,,,,,11,,7,,,,,,,
,7/3/2014,6,,,,,2,,7,,,,,,,
,7/4/2014,11,,,,,5,,7,,,,,,,
,7/5/2014,12,,,,,9,,7,,,,,,,
,7/6/2014,7,,,,,7,,7,,,,,,,
,7/7/2014,8,,,,,7,,7,,,,,,,
,7/8/2014,10,,,,2,8,,7,,,,,,,
,7/9/2014,11,,,,,11,,7,,,,,,,
,7/10/2014,9,,,,3,9,,7,3,,,,,,
,7/11/2014,6,,,,,2,,7,,,,,,,
,7/12/2014,6,,,,2,6,,7,2,,1,1,,,
,7/13/2014,5,,,,2,5,,7,2,,,,,,
,7/14/2014,7,,,,,7,,7,,,,,,,
,7/15/2014,12,,2,,,10,,7,,,,,2,,
,7/16/2014,6,,,,,6,,7,,,1,,,,
,7/17/2014,10,,,,3,9,,7,3,,2,,,,
,7/18/2014,11,,,,,8,,7,,,,,,,
,7/19/2014,11,,,,,11,,7,,,1,,,,
,7/20/2014,6,,,,,6,,7,,,1,,,,
,7/21/2014 ,10,,,,,9,,7,,,1,,5,,
,7/22/2014,8,,,,,6,,7,,,2,,,,
,7/23/2014,10,,,,,6,,7,,,2,,,,
,7/24/2014,14,,,,3,12,,7,3,,3,1,,,
,7/25/2014,6,,,,,6,,7,,,,,,,
,7/26/2014,5,,,,,5,,7,,,1,,,,
,7/27/2014,6,,,,,3,,7,,,,,,,
,7/28/2014,8,,,,1,7,,7,1,,1,,,,
,7/29/2014,1,,,,,1,,7,,,,,,,
,7/30/2014,9,,,,,9,,7,,,,,,,
,7/31/2014,4,,,,,4,,7,,,,,,,
,8/1/2014,1,,,,,1,,8,,,,,,,
,8/2/2014,8,,,,,6,,8,,,,,,,
,8/3/2014,7,,,,,4,,8,,,,,,,
,8/4/2014,5,,,,,5,,8,,,,,,,
,8/5/2014,2,,,,,2,,8,,,,,,,
,8/6/2014,9,,,,,9,,8,,,,,,,
,8/7/2014,4,,,,,4,,8,,,,,,,
,8/8/2014,9,,,,1,8,,8,1,,,,,,
,8/9/2014,1,,,,,1,,8,,,,,,,
,8/10/2014,14,,,,,14,,8,,,,,,,
,8/11/2014,3,,,,,3,,8,,,,,,,
,8/12/2014,3,,,,,1,,8,,,,,,,
,8/14/2014,3,,,,,1,,8,,,,,,,
,8/16/2014,6,,,,2,3,,8,2,,,,,,
,8/17/2014,4,,,,,1,,8,,,,,,,
,8/18/2014,6,,4,,2,,,8,2,,,,,,
,8/19/2014,2,,,,,1,,8,,,,,,,
,8/20/2014,6,,,,3,,,8,3,,,,,,
,8/21/2014,6,,,,4,,,8,4,,1,1,,,
,8/22/2014,2,,,,2,,,8,2,,,,,,
,8/23/2014,1,,,,,,,8,,,,,,,
,8/24/2014,8,,,,2,,,8,2,,,,,,
,8/25/2014,4,,,,,,,8,,,,,,,
,8/26/2014,8,,,,2,6,,8,2,,2,2,,,
,8/27/2014,8,,,,2,,,8,2,,1,,,,
,8/28/2014,8,,,,1,,,8,1,,1,1,,,
,8/29/2014,7,,,,,1,,8,,,,,,,
,8/30/2014,10,,,,,3,,8,,,3,3,,,
,8/31/2014,11,,,,,1,,8,,,,,,,
,9/1/2014,8,,,,,,,9,,,6,6,,,
,9/2/2014,2,,,,,,,9,,,2,2,,,
,9/3/2014,16,,,,5,1,,9,5,,5,5,,,
,9/4/2014,10,,,,2,2,,9,,,6,6,,,
,9/5/2014,6,,,,,5,,9,,,6,5,,,
,9/6/2014,7,,,,1,4,,9,1,,5,4,,,
,9/7/2014,3,,,,2,1,,9,2,,,,,,
,9/8/2014,12,,,,7,,,9,7,,3,3,,,
,9/9/2014,5,,,,,3,,9,,,4,3,,,
,9/10/2014,8,,,,,4,,9,,,6,4,,,
,9/12/2014,2,,,,,,,9,,,,,,,
,9/13/2014,6,,,,1,1,,9,1,,3,,,,
,9/14/2014,3,,,,,,,9,,,,,,,
,9/15/2014,7,,,,4,2,,9,3,,1,1,,,
,9/16/2014,5,,,,,2,,9,,,4,3,,,
,9/17/2014,6,,,,2,5,,9,,,3,3,,,
,9/18/2014,10,,,,,,,9,,,10,10,,,
,9/19/2014,5,,,,4,1,,9,3,,1,,,,
,9/20/2014,10,,,,8,,,9,8,,,,,,
,9/21/2014,7,,,,2,5,,9,2,,,,,,
,9/22/2014,6,,,,3,2,,9,3,,,,,,
,9/23/2014,5,,,,,1,,9,,,2,2,,,
,9/24/2014,4,,,,,3,,9,,,2,2,,,
,9/25/2014,10,,,,2,4,,9,2,,1,1,,,
,9/27/2014,1,,,,,1,,9,,,,,,,
,9/28/2014,3,,,,,3,,9,,,,,,,
,9/29/2014,2,,,,,,,9,,,,,,,
,9/30/2014,6,,,,,6,,9,,,3,3,,,
,10/1/2014,17,,,,,,,10,,,14,14,,,
,10/2/2014,11,,,,,,,10,,,9,8,,,
,10/3/2014,15,,,,7,4,,10,5,,5,2,,,
,10/5/2014,12,,,,8,,,10,8,,4,1,,,
